festival_id,name,festival_type,destination_id,destination_name,start_date,end_date
Q123273146,República de Cromañón,discothèque,Q414,Argentina,,
Q21451634,Festival MASTAI,festival,Q414,Argentina,,
Q21059662,"Argentina presidential election debates, 2015",recurring event,Q414,Argentina,,
Q83649221,Festival Internacional de Pallasses,festival,Q228,Andorra,,
Q127337171,Buenos Aires Celebra País Vasco 2023,festival occurrence,Q414,Argentina,,
Q125257928,Wikiherramientas,recurring event,Q414,Argentina,2022-04-26,
Q7142119,Pasifika Festival,festival,Q37100,Auckland,,
Q16272148,Areni wine festival,festival,Q399,Armenia,,
Q5938034,Leyendas,recurring event,Q414,Argentina,1999-01-01,
Q136756111,Argentine Biological Anthropology Conference,recurring event,Q414,Argentina,,
Q109484558,Wiki Loves Monuments in Armenia,recurring event,Q399,Armenia,,
Q116766836,ArmCon,recurring event,Q399,Armenia,,
Q1799109,La Rural Exhibition Argentina,recurring event,Q414,Argentina,,
Q127329387,Buenos Aires Celebra País Vasco 2016,festival occurrence,Q414,Argentina,,
Q127334784,Buenos Aires Celebra País Vasco 2020,festival occurrence,Q414,Argentina,,
Q106034463,Ball de l'ossa of Encamp,party,Q228,Andorra,,
Q1133236,FLISOL,recurring event,Q414,Argentina,,
Q53426517,5th birthday of Wikimedia Armenia,party,Q399,Armenia,,
Q1001834,Buenos Aires Jazz Festival,festival,Q414,Argentina,,
Q100740692,National Day for the Right to Identity,recurring event,Q414,Argentina,,
Q16567719,Fiesta NACIONAL DEL DURAZNO.,party,Q414,Argentina,,
Q4816156,Atlanta Streets Alive,recurring event,Q23556,Atlanta,,
Q48782022,Cosquín Rock 2018,festival occurrence,Q414,Argentina,,
Q5305076,Dragon Con,recurring event,Q23556,Atlanta,,
Q4071451,Kha b'Nissan,party,Q399,Armenia,,
Q133444005,Dolma Festival in Armenia 2015,festival occurrence,Q399,Armenia,,
Q65225643,Yerevan Wine Days,festival,Q399,Armenia,,
Q6276334,JordanCon,recurring event,Q23556,Atlanta,,
Q5445726,Festival Nacional del Cabrito,festival,Q414,Argentina,,
Q127336311,Buenos Aires Celebra País Vasco 2022,festival occurrence,Q414,Argentina,,
Q111363084,Wiki Loves Monuments in Aruba,recurring event,Q21203,Aruba,,
Q21044497,Summer solstice fire festivals in the Pyrenees,party,Q228,Andorra,,
Q6897370,MomoCon,recurring event,Q23556,Atlanta,,
Q17631763,Torneo Internacional Nocturno Rioplatense,recurring event,Q414,Argentina,,
Q1129940,Copa Aldao,recurring event,Q414,Argentina,,
Q121262925,Celebration of Musa Ler,party,Q399,Armenia,,
Q1241933,Donnerstagsdemonstrationen,recurring event,Q40,Austria,,
Q124808386,South by Southwest 1992,festival occurrence,Q16559,Austin,,
Q124808387,South by Southwest 1993,festival occurrence,Q16559,Austin,,
Q124808384,South by Southwest 1990,festival occurrence,Q16559,Austin,,
Q124808385,South by Southwest 1991,festival occurrence,Q16559,Austin,,
Q124808390,South by Southwest 1996,festival occurrence,Q16559,Austin,,
Q4852748,Balticon,recurring event,Q5092,Baltimore,,
Q111966898,"ACT Performance Art Festival 2017, Bern",festival,Q78,Basel,,
Q124808391,South by Southwest 1997,festival occurrence,Q16559,Austin,,
Q47118668,Musikprotokoll,festival,Q40,Austria,,
Q124808388,South by Southwest 1994,festival occurrence,Q16559,Austin,,
Q4792537,ArmadilloCon,recurring event,Q16559,Austin,,
Q124808389,South by Southwest 1995,festival occurrence,Q16559,Austin,,
Q2585452,Wir sind Wien.Festival der Bezirke,festival,Q40,Austria,,
Q59617928,Bludenzer Tage zeitgemäßer Musik,festival,Q40,Austria,,
Q111966451,"ACT Performance Art Festival 2021, Basel",festival,Q78,Basel,,
Q124808394,South by Southwest 1999,festival occurrence,Q16559,Austin,,
Q4852886,Baltimore Marathon,recurring event,Q5092,Baltimore,,
Q103967891,"Festival ""80 Tage Wien""",festival,Q40,Austria,1995-08-25,1995-11-12
Q1288474,Flex,discothèque,Q40,Austria,,
Q124808395,South by Southwest 2000,festival occurrence,Q16559,Austin,,
Q124808393,South by Southwest 1998,festival occurrence,Q16559,Austin,,
Q124808398,South by Southwest 2003,festival occurrence,Q16559,Austin,,
Q1328626,Yaldā,festival,Q227,Azerbaijan,,
Q124808396,South by Southwest 2001,festival occurrence,Q16559,Austin,,
Q112616037,Australian National Doctor Who Convention,recurring event,Q408,Australia,,
Q136432182,International Carpet Festival,festival,Q9248,Baku,,
Q124808397,South by Southwest 2002,festival occurrence,Q16559,Austin,,
Q20102416,080 Barcelona Fashion,recurring event,Q1492,Barcelona,,
Q118781114,Interferencia,festival,Q1492,Barcelona,,
Q694891,Bregenzer Festspiele,recurring event,Q40,Austria,,
Q85625819,Winter Meeting of the OSCE Parliamentary Assembly,recurring event,Q40,Austria,,
Q33127652,Poolbar Festival,festival,Q40,Austria,,
Q111966913,"ACT Performance Art Festival 2012, Basel and Bern",festival,Q78,Basel,,
Q111965428,"ACT Performance Art Festival 2019, Basel",festival,Q78,Basel,,
Q63143963,Afrika Festival Nürnberg,festival,Q40,Austria,,
Q104814344,Festival La Gacilly-Baden Photo,festival,Q40,Austria,,
Q135041629,Baku Piano Festival 2025,festival occurrence,Q9248,Baku,2025-06-14,2025-06-28
Q124809612,SXSW EDU,festival,Q16559,Austin,2011-03-01,
Q5295460,Donaukanaltreiben Festival,recurring event,Q40,Austria,,
Q4837688,BabelCon,recurring event,Q28218,Baton Rouge,,
Q107999226,Bregenzer Frühling,recurring event,Q40,Austria,,
Q6158397,7th World Festival of Youth and Students,festival occurrence,Q40,Austria,,
Q698718,Vienna Opera Ball,recurring event,Q40,Austria,,
Q38236899,Mozilla Festival,festival,Q1492,Barcelona,,
Q118781033,Escena Poblenou. Festival De Tardor,festival,Q1492,Barcelona,,
Q133852415,Baku Flames International Festival of Creativity and Effectiveness,festival,Q9248,Baku,,
Q1084193,Christmas in Vienna,recurring event,Q40,Austria,,
Q11921899,Festa de Sant Medir,party,Q1492,Barcelona,,
Q479014,Almabtrieb,festival,Q40,Austria,,
Q111966932,"ACT Performance Art Festival 2011, Basel",festival,Q78,Basel,,
Q124790347,South by Southwest 2024,festival occurrence,Q16559,Austin,2024-03-08,2024-03-16
Q118781117,Lp'07 Festival De Dansa... O No,festival,Q1492,Barcelona,,
Q131901416,South by Southwest 2025,festival occurrence,Q16559,Austin,2025-03-07,2025-03-15
Q1711230,Jugend musiziert,recurring event,Q40,Austria,,
Q20103498,Llum BCN,festival,Q1492,Barcelona,,
Q138034817,South by Southwest 2026,festival occurrence,Q16559,Austin,2026-03-12,2026-03-18
Q115870073,Barcelona Gallery Weekend,recurring event,Q1492,Barcelona,,
Q111966607,Loisiarte Festival,festival,Q40,Austria,,
Q1376362,European Bike Week,recurring event,Q40,Austria,,
Q112174343,Legs Performance Festival,festival,Q78,Basel,,
Q118781122,Mostra De Teatre De Barcelona,festival,Q1492,Barcelona,,
Q111964654,"ACT Performance Art Festival 2018, Basel",festival,Q78,Basel,,
Q30635344,Coded Cultures,recurring event,Q40,Austria,,
Q121144392,Oblivion Access Festival,recurring event,Q16559,Austin,,
Q111964228,"ACT Art Performance Festival 2007, Basel",festival,Q78,Basel,,
Q24203052,Wiener Kabarettfestival,festival,Q40,Austria,,
Q118781123,Novembre Vaca,festival,Q1492,Barcelona,,
Q54666713,2017 Beijing meetup,party,Q956,Beijing,,
Q118781092,Dansat,festival,Q1492,Barcelona,,
Q114775713,Feel Good Festival,festival,Q40,Austria,2017-01-01,
Q63979259,ACT Performance Art Festival,festival,Q78,Basel,,
Q107879672,Montforter Zwischentöne,recurring event,Q40,Austria,,
Q20422783,Baghdad International Flower Festival,festival,Q1530,Baghdad,,
Q118781094,Dies De Dansa,festival,Q1492,Barcelona,,
Q136743150,Mozilla Festival 2025,festival,Q1492,Barcelona,,
Q112185038,Partout – Platform for international Performance Art,festival,Q78,Basel,2020-10-02,2020-10-11
Q139885495,IDO ACG Expo,recurring event,Q956,Beijing,,
Q112191005,Performance Index 1995,festival,Q78,Basel,,
Q2387726,Tag des Denkmals,recurring event,Q40,Austria,,
Q111966976,"ACT Performance Art Festival 2010, Basel",festival,Q78,Basel,,
Q31073768,Exporecerca Jove,recurring event,Q1492,Barcelona,,
Q80949,April Fools' Day,recurring event,Q408,Australia,1564-01-01,
Q1402710,Feldkirch Festival,festival,Q40,Austria,2001-01-01,2012-01-01
Q112191014,Performance Index 1996,festival,Q78,Basel,,
Q111968692,"ACT Performance Art Festival 2013, Basel",festival,Q78,Basel,,
Q6541316,Dolomitenlauf,recurring event,Q40,Austria,,
Q15812818,Grelle Forelle,discothèque,Q40,Austria,,
Q118781142,Per Amor A L'hart,festival,Q1492,Barcelona,,
Q23807418,Premis de la Crítica de les Arts Escèniques,recurring event,Q1492,Barcelona,,
Q19889347,Woodstock der Blasmusik,festival,Q40,Austria,,
Q4881124,Beijing Design Week,recurring event,Q956,Beijing,2009-01-01,
Q50799330,Al Ghadeer International Festival,festival,Q1530,Baghdad,,
Q118781098,Festival D'òpera De Butxaca I Noves Creacions,festival,Q1492,Barcelona,,
Q118781096,Festival Complicitats,festival,Q1492,Barcelona,,
Q80949,April Fools' Day,recurring event,Q40,Austria,1564-01-01,
Q1408647,Festival der Regionen,festival,Q40,Austria,,
Q118781101,Festival Idn,festival,Q1492,Barcelona,,
Q118781106,Festival Marató De L'espectacle,festival,Q1492,Barcelona,,
Q118781104,Festival Inmotion. Biennal Internacional De Performance I Arts Visuals Aplicades A La Realitat,festival,Q1492,Barcelona,,
Q1328341,Elevate Festival,festival,Q40,Austria,,
Q2360207,Ständige Ägyptologenkonferenz,recurring event,Q40,Austria,,
Q118781108,"Festival Neo. Festival Internacional De Dramatúrgies Plàstiques De La Imatge, Noves Tecnologies, Titelles I Objectes",festival,Q1492,Barcelona,,
Q959755,South by Southwest,recurring event,Q16559,Austin,1987-01-01,
Q111967720,"ACT Performance Art Festival 2021, Basel",festival,Q78,Basel,,
Q124802049,South by Southwest 2023,festival occurrence,Q16559,Austin,,
Q2359108,Stunde der Wintervögel,recurring event,Q40,Austria,,
Q7641902,Supanova Pop Culture Expo,recurring event,Q408,Australia,,
Q106473417,Literaricum Lech,recurring event,Q40,Austria,,
Q4824472,Australian National Science Fiction Convention,recurring event,Q408,Australia,,
Q6117914,Automobile Barcelona,recurring event,Q1492,Barcelona,,
Q112064456,Tun was man kann 2,festival,Q78,Basel,,
Q118781125,Tens Dansa,festival,Q1492,Barcelona,,
Q229533,Zum Sperl,discothèque,Q40,Austria,,
Q2083986,Pflasterspektakel,recurring event,Q40,Austria,,
Q60021471,Digitale Bibliothek,recurring event,Q40,Austria,,
Q136485557,HR Lovers Afterwork,recurring event,Q1492,Barcelona,,
Q6554944,Linucon,recurring event,Q16559,Austin,,
Q112615470,ANZAPA Con,recurring event,Q408,Australia,,
Q111967092,"ACT ON 2007, Basel",festival,Q78,Basel,,
Q112190997,Performance Index,festival,Q78,Basel,,
Q112174574,Legs Performance Festival 2017,festival,Q78,Basel,,
Q1686168,Kürbisfest im Retzer Land,recurring event,Q40,Austria,,
Q5944895,LOOP Barcelona,festival,Q1492,Barcelona,2003-01-01,
Q124808382,South by Southwest 1988,festival occurrence,Q16559,Austin,,
Q2206144,Roboexotica,recurring event,Q40,Austria,,
Q124808383,South by Southwest 1989,festival occurrence,Q16559,Austin,,
Q124808381,South by Southwest 1987,festival occurrence,Q16559,Austin,,
Q5055276,Caxton Street Seafood and Wine Festival,recurring event,Q408,Australia,,
Q19879182,Soulfest festival,festival,Q408,Australia,,
Q7739376,The Henry Lawson Festival,festival,Q408,Australia,,
Q4824785,Australian Venture,recurring event,Q408,Australia,1965-01-01,
Q5519829,Game Connect,recurring event,Q408,Australia,,
Q24190412,Maroochy Music And Visual Arts Festival,festival,Q408,Australia,,
Q17013864,Midsumma Festival,recurring event,Q408,Australia,,
Q7566121,South Australian Living Artists Festival,recurring event,Q408,Australia,,
Q4785217,Arcanacon,recurring event,Q408,Australia,,
Q5582563,Good Food & Wine Show,recurring event,Q408,Australia,,
Q20807647,Goulburn to Sydney Classic,recurring event,Q408,Australia,,
Q6718064,MS Fest,recurring event,Q408,Australia,,
Q6811770,Melbourne Fashion Festival,recurring event,Q408,Australia,1996-01-01,
Q5625142,Gympie Muster,recurring event,Q408,Australia,,
Q48803069,Beef Australia,recurring event,Q408,Australia,,
Q7361085,Rollercoaster,recurring event,Q408,Australia,,
Q6979473,National Young Writers' Festival,festival,Q408,Australia,,
Q48723635,Hillsong Conference,recurring event,Q408,Australia,,
Q19903813,World of Commodore,recurring event,Q408,Australia,,
Q7660053,Sydney New Year's Eve,recurring event,Q408,Australia,1976-01-01,
Q6749509,Manifest,recurring event,Q408,Australia,2000-01-01,
Q7373583,Royal Adelaide Show,recurring event,Q408,Australia,,
Q4681688,Adelaide Christmas Pageant,recurring event,Q408,Australia,,
Q107637051,Toowoomba Carnival of Flowers,recurring event,Q408,Australia,,
Q23073782,Oz Comic Con,recurring event,Q408,Australia,2012-01-01,
Q5058971,census in Australia,recurring event,Q408,Australia,,
Q24886945,Madman Anime Festival,recurring event,Q408,Australia,2016-01-01,
Q18390549,Mercedes-Benz Fashion Festival Sydney 2014,festival occurrence,Q408,Australia,,
Q4733886,Almond Blossom Festival,festival,Q408,Australia,,
Q4968569,Brisbane Festival,recurring event,Q408,Australia,,
Q4887083,Bendigo Easter Festival,festival,Q408,Australia,,
Q4851456,Ballarat Begonia Festival,festival,Q408,Australia,,
Q7096650,Opera in The Domain,festival,Q408,Australia,,
Q28134942,OzAsia Festival,recurring event,Q408,Australia,,
Q4795617,Around the Bay in a Day,recurring event,Q408,Australia,,
Q96622031,Wiki Loves Folklore,recurring event,Q227,Azerbaijan,,
Q16891412,Fringe World,festival,Q408,Australia,,
Q1652194,Day of National Solidarity of Azerbaijanis,recurring event,Q227,Azerbaijan,,
Q5944596,Hunter Valley Steamfest,recurring event,Q408,Australia,,
Q7502011,Short and Sweet,recurring event,Q408,Australia,,
Q4824816,Australian Wooden Boat Festival,festival,Q408,Australia,,
Q5600122,Great Victorian Bike Ride,recurring event,Q408,Australia,1984-01-01,
Q57804576,Castlemaine State Festival,festival,Q408,Australia,,
Q2850027,Animania,recurring event,Q408,Australia,,
Q17014244,Moondyne Festival,recurring event,Q408,Australia,,
Q5610366,Groovin' the Moo,recurring event,Q408,Australia,,
Q135041629,Baku Piano Festival 2025,festival occurrence,Q227,Azerbaijan,2025-06-14,2025-06-28
Q16970846,Melbourne Marathon Festival,festival,Q408,Australia,,
Q17985794,Beaufort Street Festival,recurring event,Q408,Australia,,
Q4824401,Australian Made,recurring event,Q408,Australia,,
Q19872904,Dirt n Dust Festival,recurring event,Q408,Australia,,
Q4075920,Mstislav Rostropovich Baku International Festival,festival,Q227,Azerbaijan,,
Q106314769,Milli Dalğa Award,recurring event,Q227,Azerbaijan,,
Q937516,Kangaroo Hoppet,recurring event,Q408,Australia,,
Q7243085,Primary Schools Music Festival,festival,Q408,Australia,,
Q4824330,Australian International Airshow,recurring event,Q408,Australia,,
Q5154710,Community Cup,recurring event,Q408,Australia,1997-01-01,
Q19874514,Huon Show,recurring event,Q408,Australia,,
Q3478312,Australian Fashion Week,recurring event,Q408,Australia,1996-01-01,
Q7091312,On the Bright Side Festival,recurring event,Q408,Australia,,
Q23641765,Darwin Festival,festival,Q408,Australia,,
Q496020,Floriade,recurring event,Q408,Australia,,
Q7158475,Peats Ridge Festival,festival,Q408,Australia,,
Q7959875,Wai-Con,recurring event,Q408,Australia,,
Q81610,Mr Gay World,recurring event,Q408,Australia,,
Q85039642,Yoo-long Erah-ba-diahng 1795,ceremony,Q408,Australia,,
Q28224213,MoreArt,recurring event,Q408,Australia,,
Q4968603,Brisbane Pride Festival,recurring event,Q408,Australia,,
Q4968595,Brisbane Open House,festival,Q408,Australia,,
Q4824163,Australian Film Walk of Fame,recurring event,Q408,Australia,,
Q5504503,Fright Nights,recurring event,Q408,Australia,,
Q138391547,DAM/DAM,discothèque,Q40,Austria,,
Q16917680,Gold coast art festival,festival,Q408,Australia,,
Q4612095,2008 Tropfest finalists,festival occurrence,Q408,Australia,,
Q106809542,Khari Bulbul Music Festival,festival,Q227,Azerbaijan,,
Q6952824,NBL (Australia) All-Star Game,recurring event,Q408,Australia,1982-01-01,
Q6969988,Nati Frinj,festival,Q408,Australia,,
Q63343503,Tarnanthi,recurring event,Q408,Australia,,
Q113414745,Vagif Poetry Days,festival,Q227,Azerbaijan,,
Q6780879,Mary Valley Art Festival,recurring event,Q408,Australia,,
Q17020380,Paniyiri Greek Festival,recurring event,Q408,Australia,,
Q7994532,White Christmas,recurring event,Q408,Australia,,
Q24997542,Secret Garden Festival,festival,Q408,Australia,,
Q111431254,Negev Forum,recurring event,Q398,Bahrain,,
Q4851469,Ballarat Heritage Weekend,recurring event,Q408,Australia,,
Q4692171,Agfest,recurring event,Q408,Australia,,
Q6907391,Moomba,festival,Q408,Australia,1955-01-01,
Q5568412,Glendi,recurring event,Q408,Australia,,
Q17014240,Australian Fitness & Health Expo,recurring event,Q408,Australia,1995-01-01,
Q5306803,Dreamworld's 30th Birthday,recurring event,Q408,Australia,,
Q617378,Worldcon,recurring event,Q408,Australia,,
Q17015117,National Multicultural Festival,recurring event,Q408,Australia,1981-01-01,
Q4823390,Austral Wheel Race,recurring event,Q408,Australia,,
Q133852415,Baku Flames International Festival of Creativity and Effectiveness,festival,Q227,Azerbaijan,,
Q5322603,EB Games Expo,recurring event,Q408,Australia,2011-01-01,
Q66421540,National Yaylag Festival,festival,Q227,Azerbaijan,,
Q5004306,Byron Bay Writers Festival,festival,Q408,Australia,,
Q106246041,Yirramboi Festival,recurring event,Q408,Australia,,
Q3533306,Tour of Coleraine,recurring event,Q408,Australia,,
Q28224128,Melbourne International Games Week,recurring event,Q408,Australia,,
Q1322124,Tour of Tasmania,recurring event,Q408,Australia,,
Q7660044,Sydney Model Railway Exhibition,recurring event,Q408,Australia,1962-01-01,
Q7728133,The Croc Festival,festival,Q408,Australia,,
Q1711348,Goychay Pomegranate Festival,festival,Q227,Azerbaijan,,
Q7017467,Newcastle Regional Show,recurring event,Q408,Australia,,
Q6811812,Melbourne International Jazz Festival,recurring event,Q408,Australia,,
Q55612039,Freeplay Independent Games Festival,festival,Q408,Australia,,
Q5157907,ConFest,festival,Q408,Australia,,
Q108581987,Isol-Aid,recurring event,Q408,Australia,,
Q7767794,The Sydney Fringe,recurring event,Q408,Australia,,
Q7170890,Perth Royal Show,recurring event,Q408,Australia,,
Q23641720,Connect Expo,recurring event,Q408,Australia,2014-01-01,
Q6657094,Live at the Zoo,recurring event,Q408,Australia,,
Q6952272,NAIDOC Week,recurring event,Q408,Australia,,
Q8055626,Yorke Peninsula Field Days,recurring event,Q408,Australia,,
Q7537707,Skyfire,recurring event,Q408,Australia,,
Q18207482,GovHack,recurring event,Q408,Australia,2009-01-01,
Q6811774,Melbourne Food and Wine Festival,recurring event,Q408,Australia,,
Q60776171,Good Things,recurring event,Q408,Australia,,
Q7332549,Ride to Work Day,recurring event,Q408,Australia,1994-01-01,
Q7432714,Schools Spectacular,recurring event,Q408,Australia,1984-01-01,
Q7649604,Sustainable Living Festival,festival,Q408,Australia,,
Q6811817,Melbourne Jazz Fringe Festival,recurring event,Q408,Australia,,
Q4690907,AgQuip,recurring event,Q408,Australia,,
Q7653412,Swancon,recurring event,Q408,Australia,,
Q7021165,Next Wave Festival,festival,Q408,Australia,,
Q7445477,See Change Festival,festival,Q408,Australia,,
Q4868159,Bassinthedust,recurring event,Q408,Australia,,
Q5596005,Granny Smith Festival,festival,Q408,Australia,,
Q6811807,Melbourne International Animation Festival,recurring event,Q408,Australia,,
Q1368654,Melbourne to Warrnambool Classic,recurring event,Q408,Australia,,
Q52009089,AzeCON,recurring event,Q227,Azerbaijan,,
Q138849470,Wiener Zukunftstage,festival,Q40,Austria,,
Q19873102,EduTECH,recurring event,Q408,Australia,2011-01-01,
Q3012492,Dally M Awards,recurring event,Q408,Australia,,
Q105638526,Invasion Fest,recurring event,Q408,Australia,,
Q6647854,Lithgow Ironfest,festival,Q408,Australia,,
Q7967820,Wangaratta Festival of Jazz,recurring event,Q408,Australia,,
Q55622727,Melburn Roobaix,recurring event,Q408,Australia,2005-01-01,
Q130712668,Dudcon,recurring event,Q408,Australia,,
Q116893705,Art Music Awards,recurring event,Q408,Australia,,
Q116893714,Classical Music Awards for Best Composition by an Australian Composer,recurring event,Q408,Australia,,
Q136353254,Inauguration of the Commonwealth 1901,ceremony,Q408,Australia,,
Q136353190,New Year fireworks 2000,festival,Q408,Australia,,
Q136362151,Great Inflatable Film Festival,festival,Q408,Australia,,
Q130712630,Conjunction,recurring event,Q408,Australia,,
Q134489695,International Museum Day Editathon,recurring event,Q902,Bangladesh,2024-01-01,
Q130712804,Melbourne All-Club Mini-Cons,recurring event,Q408,Australia,,
