destination_id,destination_name,month_number,month_name,avg_temp_celsius,avg_rainfall_mm,avg_humidity
Q5112,Adelaide,3,March,21.9,0.0,53.3
Q5112,Adelaide,4,April,14.7,0.6,68.2
Q5112,Adelaide,5,May,13.4,0.5,66.6
Q5112,Adelaide,6,June,10.8,3.5,78.8
Q5112,Adelaide,7,July,10.8,2.4,75.7
Q5112,Adelaide,8,August,13.4,1.7,73.4
Q5112,Adelaide,9,September,13.3,1.5,69.0
Q5112,Adelaide,10,October,16.9,0.6,62.9
Q5112,Adelaide,11,November,19.5,1.0,59.0
Q5112,Adelaide,12,December,21.6,0.4,52.9
Q889,Afghanistan,1,January,3.2,1.9,53.0
Q889,Afghanistan,2,February,1.1,4.8,54.4
Q889,Afghanistan,3,March,2.5,4.0,69.0
Q889,Afghanistan,4,April,9.4,4.6,59.4
Q889,Afghanistan,5,May,17.0,1.1,40.4
Q889,Afghanistan,6,June,22.6,0.0,21.6
Q889,Afghanistan,7,July,26.1,0.0,18.1
Q889,Afghanistan,8,August,25.2,0.0,20.6
Q889,Afghanistan,9,September,21.2,0.1,19.5
Q889,Afghanistan,10,October,15.3,0.2,30.4
Q889,Afghanistan,11,November,9.6,1.1,43.8
Q889,Afghanistan,12,December,1.4,0.2,38.9
Q42941,Agra,1,January,11.7,0.3,87.3
Q42941,Agra,2,February,16.5,1.2,68.4
Q42941,Agra,3,March,22.5,0.3,51.2
Q42941,Agra,4,April,30.5,0.0,24.8
Q42941,Agra,5,May,35.0,0.0,25.5
Q42941,Agra,6,June,35.4,5.1,40.6
Q42941,Agra,7,July,30.0,7.7,80.8
Q42941,Agra,8,August,28.0,9.0,85.4
Q42941,Agra,9,September,27.6,12.9,82.9
Q42941,Agra,10,October,26.8,0.0,66.8
Q42941,Agra,11,November,22.1,0.0,63.5
Q42941,Agra,12,December,15.7,0.8,69.7
Q1070,Ahmedabad,1,January,20.1,0.0,58.5
Q1070,Ahmedabad,2,February,24.2,0.0,42.5
Q1070,Ahmedabad,3,March,27.6,0.1,31.6
Q1070,Ahmedabad,4,April,32.6,0.0,29.0
Q1070,Ahmedabad,5,May,35.6,0.0,34.7
Q1070,Ahmedabad,6,June,33.6,2.4,55.7
Q1070,Ahmedabad,7,July,28.5,13.9,84.3
Q1070,Ahmedabad,8,August,27.4,15.7,86.1
Q1070,Ahmedabad,9,September,27.6,9.2,82.9
Q1070,Ahmedabad,10,October,28.1,2.2,70.2
Q1070,Ahmedabad,11,November,26.3,0.0,42.5
Q1070,Ahmedabad,12,December,22.3,0.0,43.5
Q40104,Ajaccio,1,January,10.1,2.8,84.9
Q40104,Ajaccio,2,February,10.6,4.7,84.8
Q40104,Ajaccio,3,March,11.9,4.5,82.5
Q40104,Ajaccio,4,April,14.1,1.8,73.2
Q40104,Ajaccio,5,May,17.1,5.0,77.3
Q40104,Ajaccio,6,June,21.5,0.8,70.0
Q40104,Ajaccio,7,July,25.7,0.1,67.3
Q40104,Ajaccio,8,August,26.3,2.8,69.4
Q40104,Ajaccio,9,September,20.1,4.6,76.4
Q40104,Ajaccio,10,October,17.7,10.5,86.3
Q40104,Ajaccio,11,November,13.6,1.0,78.7
Q40104,Ajaccio,12,December,8.8,2.1,75.4
Q222,Albania,1,January,7.2,5.8,72.1
Q222,Albania,2,February,9.9,1.4,68.5
Q222,Albania,3,March,12.0,5.8,72.8
Q222,Albania,4,April,16.1,3.0,66.7
Q222,Albania,5,May,19.2,4.9,72.5
Q222,Albania,6,June,25.6,1.1,63.1
Q222,Albania,7,July,28.3,0.8,57.4
Q222,Albania,8,August,27.9,0.2,55.0
Q222,Albania,9,September,21.7,4.7,69.0
Q222,Albania,10,October,17.6,3.3,72.1
Q222,Albania,11,November,11.2,4.1,71.2
Q222,Albania,12,December,7.5,5.5,76.8
Q24861,Albany,1,January,-1.5,4.5,74.3
Q24861,Albany,2,February,0.5,1.0,63.1
Q24861,Albany,3,March,4.4,5.5,67.6
Q24861,Albany,4,April,8.9,4.8,68.5
Q24861,Albany,5,May,17.0,2.3,70.9
Q24861,Albany,6,June,21.6,3.6,68.3
Q24861,Albany,7,July,24.5,2.0,70.2
Q24861,Albany,8,August,21.3,3.7,76.9
Q24861,Albany,9,September,18.3,1.9,72.7
Q24861,Albany,10,October,12.0,1.8,72.6
Q24861,Albany,11,November,6.7,3.2,69.6
Q24861,Albany,12,December,-1.5,3.2,77.1
Q34804,Albuquerque,1,January,1.4,0.6,63.7
Q34804,Albuquerque,2,February,5.8,0.6,48.3
Q34804,Albuquerque,3,March,8.7,1.7,43.3
Q34804,Albuquerque,4,April,14.4,0.5,29.8
Q34804,Albuquerque,5,May,19.5,0.4,25.4
Q34804,Albuquerque,6,June,26.3,0.8,32.3
Q34804,Albuquerque,7,July,26.6,0.3,36.1
Q34804,Albuquerque,8,August,26.7,0.1,36.1
Q34804,Albuquerque,9,September,22.9,0.1,33.5
Q34804,Albuquerque,10,October,18.2,0.4,30.5
Q34804,Albuquerque,11,November,6.8,1.2,46.3
Q34804,Albuquerque,12,December,5.4,0.0,39.7
Q41183,Aleppo,1,January,8.8,3.6,83.2
Q41183,Aleppo,2,February,9.5,2.2,80.1
Q41183,Aleppo,3,March,12.4,1.7,67.6
Q41183,Aleppo,4,April,20.9,0.7,52.5
Q41183,Aleppo,5,May,22.1,0.5,53.0
Q41183,Aleppo,6,June,31.2,0.0,36.7
Q41183,Aleppo,7,July,30.6,0.0,48.5
Q41183,Aleppo,8,August,29.9,0.0,53.4
Q41183,Aleppo,9,September,26.2,0.6,55.8
Q41183,Aleppo,10,October,20.7,0.0,41.1
Q41183,Aleppo,11,November,13.0,1.0,69.0
Q41183,Aleppo,12,December,8.7,1.2,69.3
Q87,Alexandria,1,January,15.3,1.5,67.8
Q87,Alexandria,2,February,14.7,1.6,75.3
Q87,Alexandria,3,March,16.9,0.6,67.4
Q87,Alexandria,4,April,20.5,0.3,69.5
Q87,Alexandria,5,May,22.9,0.0,62.0
Q87,Alexandria,6,June,27.0,0.0,68.0
Q87,Alexandria,7,July,28.3,0.0,71.0
Q87,Alexandria,8,August,28.2,0.0,71.3
Q87,Alexandria,9,September,27.3,0.0,65.3
Q87,Alexandria,10,October,23.5,0.0,64.9
Q87,Alexandria,11,November,19.6,0.5,66.3
Q87,Alexandria,12,December,15.8,1.1,67.7
Q262,Algeria,1,January,16.0,0.0,29.8
Q262,Algeria,2,February,17.4,0.0,31.8
Q262,Algeria,3,March,22.4,0.0,18.8
Q262,Algeria,4,April,26.2,0.0,19.1
Q262,Algeria,5,May,31.9,0.0,12.0
Q262,Algeria,6,June,37.9,0.0,10.7
Q262,Algeria,7,July,39.7,0.0,9.8
Q262,Algeria,8,August,38.0,0.0,13.5
Q262,Algeria,9,September,32.8,0.1,30.6
Q262,Algeria,10,October,28.3,0.0,27.0
Q262,Algeria,11,November,22.5,0.0,29.0
Q262,Algeria,12,December,14.6,0.0,38.1
Q3561,Algiers,1,January,13.2,2.0,73.4
Q3561,Algiers,2,February,13.4,4.0,77.0
Q3561,Algiers,3,March,15.3,0.8,71.2
Q3561,Algiers,4,April,16.5,0.9,68.9
Q3561,Algiers,5,May,19.2,0.9,70.0
Q3561,Algiers,6,June,22.7,0.0,69.2
Q3561,Algiers,7,July,25.9,0.0,71.9
Q3561,Algiers,8,August,27.1,0.4,72.2
Q3561,Algiers,9,September,23.9,0.6,70.1
Q3561,Algiers,10,October,21.6,2.2,71.3
Q3561,Algiers,11,November,18.2,1.0,77.2
Q3561,Algiers,12,December,12.4,1.0,74.1
Q35493,Almaty,1,January,-1.9,1.0,74.3
Q35493,Almaty,2,February,-5.6,1.3,73.5
Q35493,Almaty,3,March,4.7,2.6,67.9
Q35493,Almaty,4,April,12.4,3.4,64.0
Q35493,Almaty,5,May,17.6,2.8,64.6
Q35493,Almaty,6,June,23.5,0.6,46.9
Q35493,Almaty,7,July,25.2,1.1,47.4
Q35493,Almaty,8,August,25.2,0.7,42.7
Q35493,Almaty,9,September,16.0,1.5,52.5
Q35493,Almaty,10,October,11.5,2.9,60.8
Q35493,Almaty,11,November,4.0,1.5,68.2
Q35493,Almaty,12,December,-5.0,1.2,76.5
Q3805,Amman,1,January,10.2,0.6,73.6
Q3805,Amman,2,February,9.7,0.7,71.9
Q3805,Amman,3,March,13.3,0.2,57.5
Q3805,Amman,4,April,19.9,0.2,46.1
Q3805,Amman,5,May,21.0,0.1,45.1
Q3805,Amman,6,June,29.2,0.0,28.8
Q3805,Amman,7,July,27.6,0.0,42.1
Q3805,Amman,8,August,26.8,0.0,46.0
Q3805,Amman,9,September,24.0,0.0,55.6
Q3805,Amman,10,October,19.9,0.0,49.7
Q3805,Amman,11,November,14.5,0.2,65.9
Q3805,Amman,12,December,10.8,0.2,54.3
Q727,Amsterdam,1,January,4.1,2.4,81.3
Q727,Amsterdam,2,February,7.8,4.4,87.9
Q727,Amsterdam,3,March,8.5,1.8,80.9
Q727,Amsterdam,4,April,10.2,3.4,77.2
Q727,Amsterdam,5,May,15.1,4.8,81.5
Q727,Amsterdam,6,June,15.2,2.7,78.4
Q727,Amsterdam,7,July,17.5,3.6,78.9
Q727,Amsterdam,8,August,19.1,1.8,76.4
Q727,Amsterdam,9,September,15.9,3.9,80.9
Q727,Amsterdam,10,October,12.3,1.8,86.6
Q727,Amsterdam,11,November,7.4,3.5,85.7
Q727,Amsterdam,12,December,6.5,2.7,87.4
Q39450,Anchorage,1,January,-11.0,1.4,78.1
Q39450,Anchorage,2,February,-6.8,1.6,77.2
Q39450,Anchorage,3,March,-3.0,1.3,79.3
Q39450,Anchorage,4,April,1.1,0.7,73.0
Q39450,Anchorage,5,May,7.4,1.5,76.4
Q39450,Anchorage,6,June,14.0,1.2,68.7
Q39450,Anchorage,7,July,14.5,3.5,75.0
Q39450,Anchorage,8,August,13.0,5.2,80.4
Q39450,Anchorage,9,September,9.3,4.8,87.1
Q39450,Anchorage,10,October,1.8,2.6,79.5
Q39450,Anchorage,11,November,-6.1,1.2,79.5
Q39450,Anchorage,12,December,-4.5,1.7,86.4
Q3415,Ancona,1,January,7.9,1.3,80.3
Q3415,Ancona,2,February,9.5,1.1,82.4
Q3415,Ancona,3,March,11.9,3.2,81.7
Q3415,Ancona,4,April,14.3,2.1,72.0
Q3415,Ancona,5,May,18.4,1.2,71.3
Q3415,Ancona,6,June,23.4,2.5,62.1
Q3415,Ancona,7,July,27.2,0.7,61.0
Q3415,Ancona,8,August,27.2,0.7,66.4
Q3415,Ancona,9,September,21.2,5.2,72.0
Q3415,Ancona,10,October,17.8,4.2,86.1
Q3415,Ancona,11,November,11.5,1.4,78.9
Q3415,Ancona,12,December,8.0,3.5,77.0
Q228,Andorra,1,January,2.2,1.5,65.4
Q228,Andorra,2,February,3.4,2.1,66.7
Q228,Andorra,3,March,2.8,5.4,77.8
Q228,Andorra,4,April,5.3,3.0,67.7
Q228,Andorra,5,May,8.3,2.7,75.0
Q228,Andorra,6,June,13.4,2.2,69.9
Q228,Andorra,7,July,18.1,0.9,59.2
Q228,Andorra,8,August,18.4,1.2,59.9
Q228,Andorra,9,September,10.5,2.9,74.0
Q228,Andorra,10,October,9.0,4.4,81.5
Q228,Andorra,11,November,5.3,1.1,75.0
Q228,Andorra,12,December,1.0,1.9,69.2
Q1863,Andorra la Vella,1,January,5.5,1.2,62.3
Q1863,Andorra la Vella,2,February,6.7,1.9,62.9
Q1863,Andorra la Vella,3,March,7.0,4.9,71.1
Q1863,Andorra la Vella,4,April,9.5,3.2,60.5
Q1863,Andorra la Vella,5,May,12.0,5.7,68.5
Q1863,Andorra la Vella,6,June,17.0,3.1,65.5
Q1863,Andorra la Vella,7,July,21.6,0.6,56.0
Q1863,Andorra la Vella,8,August,21.8,0.9,56.6
Q1863,Andorra la Vella,9,September,14.0,2.6,69.7
Q1863,Andorra la Vella,10,October,12.2,4.7,78.1
Q1863,Andorra la Vella,11,November,8.1,0.9,72.7
Q1863,Andorra la Vella,12,December,4.4,0.9,65.3
Q38380,Angers,1,January,5.6,2.5,85.5
Q38380,Angers,2,February,9.4,3.6,86.4
Q38380,Angers,3,March,9.1,2.8,82.9
Q38380,Angers,4,April,11.3,2.1,76.5
Q38380,Angers,5,May,14.1,4.1,80.0
Q38380,Angers,6,June,17.0,1.8,73.9
Q38380,Angers,7,July,19.2,2.7,75.7
Q38380,Angers,8,August,20.1,1.1,72.9
Q38380,Angers,9,September,15.5,2.4,78.9
Q38380,Angers,10,October,13.9,4.5,87.4
Q38380,Angers,11,November,9.6,2.3,88.2
Q38380,Angers,12,December,7.0,0.9,87.5
Q916,Angola,1,January,20.6,8.9,81.3
Q916,Angola,2,February,21.9,5.5,77.3
Q916,Angola,3,March,21.7,4.4,78.4
Q916,Angola,4,April,20.6,3.9,74.6
Q916,Angola,5,May,19.4,0.1,50.8
Q916,Angola,6,June,18.4,0.0,39.9
Q916,Angola,7,July,19.5,0.0,27.5
Q916,Angola,8,August,21.8,0.0,22.0
Q916,Angola,9,September,24.5,0.2,33.0
Q916,Angola,10,October,24.2,1.2,49.6
Q916,Angola,11,November,21.1,10.2,80.6
Q916,Angola,12,December,21.2,7.1,80.0
Q3640,Ankara,1,January,2.7,3.4,76.8
Q3640,Ankara,2,February,5.6,0.7,69.2
Q3640,Ankara,3,March,7.3,1.4,65.5
Q3640,Ankara,4,April,15.8,1.3,52.5
Q3640,Ankara,5,May,15.3,2.2,63.4
Q3640,Ankara,6,June,24.4,0.6,44.3
Q3640,Ankara,7,July,25.2,0.8,47.0
Q3640,Ankara,8,August,25.3,0.3,43.1
Q3640,Ankara,9,September,20.9,1.0,51.6
Q3640,Ankara,10,October,13.4,0.1,57.1
Q3640,Ankara,11,November,6.5,1.2,73.9
Q3640,Ankara,12,December,3.6,2.2,85.6
Q28271,Annapolis,1,January,3.1,4.4,74.8
Q28271,Annapolis,2,February,4.8,2.3,71.0
Q28271,Annapolis,3,March,9.0,6.2,66.9
Q28271,Annapolis,4,April,13.7,3.0,68.1
Q28271,Annapolis,5,May,18.9,4.4,78.6
Q28271,Annapolis,6,June,24.4,2.4,64.3
Q28271,Annapolis,7,July,26.1,4.4,73.5
Q28271,Annapolis,8,August,23.8,6.8,75.7
Q28271,Annapolis,9,September,20.9,2.4,77.7
Q28271,Annapolis,10,October,15.3,0.4,68.1
Q28271,Annapolis,11,November,11.1,1.9,68.8
Q28271,Annapolis,12,December,4.0,2.4,71.0
Q6487,Antalya,1,January,11.7,4.1,68.1
Q6487,Antalya,2,February,11.7,5.8,71.8
Q6487,Antalya,3,March,13.4,1.2,63.9
Q6487,Antalya,4,April,19.5,0.3,59.8
Q6487,Antalya,5,May,21.2,1.0,60.5
Q6487,Antalya,6,June,29.5,0.0,48.1
Q6487,Antalya,7,July,31.4,1.2,45.6
Q6487,Antalya,8,August,30.0,0.3,52.8
Q6487,Antalya,9,September,25.4,2.4,61.2
Q6487,Antalya,10,October,21.2,0.0,47.3
Q6487,Antalya,11,November,14.8,2.1,57.3
Q6487,Antalya,12,December,11.8,6.8,78.2
Q3915,Antananarivo,1,January,20.8,12.4,80.9
Q3915,Antananarivo,2,February,20.6,12.2,82.0
Q3915,Antananarivo,3,March,20.3,4.6,80.2
Q3915,Antananarivo,4,April,20.1,0.9,77.3
Q3915,Antananarivo,5,May,17.0,0.3,76.4
Q3915,Antananarivo,6,June,15.6,0.2,75.7
Q3915,Antananarivo,7,July,14.9,0.0,72.2
Q3915,Antananarivo,8,August,15.5,0.1,70.4
Q3915,Antananarivo,9,September,17.9,0.8,67.2
Q3915,Antananarivo,10,October,19.1,0.4,66.7
Q3915,Antananarivo,11,November,21.7,3.2,67.1
Q3915,Antananarivo,12,December,21.4,3.5,71.4
Q781,Antigua and Barbuda,1,January,26.1,1.5,70.4
Q781,Antigua and Barbuda,2,February,25.7,4.2,74.2
Q781,Antigua and Barbuda,3,March,26.4,1.7,69.4
Q781,Antigua and Barbuda,4,April,27.0,2.0,71.6
Q781,Antigua and Barbuda,5,May,28.4,2.3,72.3
Q781,Antigua and Barbuda,6,June,28.8,2.4,71.4
Q781,Antigua and Barbuda,7,July,28.7,2.9,72.3
Q781,Antigua and Barbuda,8,August,28.5,4.4,74.1
Q781,Antigua and Barbuda,9,September,28.4,3.0,75.9
Q781,Antigua and Barbuda,10,October,28.9,1.6,70.3
Q781,Antigua and Barbuda,11,November,27.3,4.3,78.2
Q781,Antigua and Barbuda,12,December,26.9,1.0,68.0
Q3612,Antofagasta,1,January,20.8,0.0,77.2
Q3612,Antofagasta,2,February,22.1,0.0,76.3
Q3612,Antofagasta,3,March,20.2,0.0,79.2
Q3612,Antofagasta,4,April,18.4,0.1,79.9
Q3612,Antofagasta,5,May,15.4,0.0,81.6
Q3612,Antofagasta,6,June,15.1,0.0,82.0
Q3612,Antofagasta,7,July,13.9,0.0,79.4
Q3612,Antofagasta,8,August,14.3,0.0,79.3
Q3612,Antofagasta,9,September,14.7,0.0,81.7
Q3612,Antofagasta,10,October,16.2,0.0,79.0
Q3612,Antofagasta,11,November,17.5,0.0,79.2
Q3612,Antofagasta,12,December,18.0,0.0,77.2
Q12892,Antwerp,1,January,3.5,2.6,81.6
Q12892,Antwerp,2,February,8.2,4.2,86.7
Q12892,Antwerp,3,March,8.8,3.0,80.5
Q12892,Antwerp,4,April,10.8,3.0,75.5
Q12892,Antwerp,5,May,15.0,5.6,81.3
Q12892,Antwerp,6,June,15.8,3.3,75.9
Q12892,Antwerp,7,July,18.4,3.0,75.1
Q12892,Antwerp,8,August,19.7,2.0,75.1
Q12892,Antwerp,9,September,15.9,3.6,81.4
Q12892,Antwerp,10,October,12.5,2.1,85.5
Q12892,Antwerp,11,November,7.5,2.6,86.7
Q12892,Antwerp,12,December,5.9,2.2,88.4
Q36260,Apia,1,January,26.8,11.2,88.1
Q36260,Apia,2,February,26.6,16.2,91.1
Q36260,Apia,3,March,27.2,4.5,84.9
Q36260,Apia,4,April,27.1,5.8,86.5
Q36260,Apia,5,May,26.7,7.6,87.7
Q36260,Apia,6,June,25.5,3.6,85.0
Q36260,Apia,7,July,25.0,6.2,83.1
Q36260,Apia,8,August,24.8,1.8,81.9
Q36260,Apia,9,September,25.4,5.2,85.9
Q36260,Apia,10,October,25.9,7.4,84.9
Q36260,Apia,11,November,25.5,9.3,90.5
Q36260,Apia,12,December,25.7,7.6,90.4
Q414,Argentina,1,January,24.3,3.2,66.1
Q414,Argentina,2,February,24.3,3.2,71.2
Q414,Argentina,3,March,22.7,2.4,71.9
Q414,Argentina,4,April,16.8,2.7,74.2
Q414,Argentina,5,May,9.8,0.3,73.2
Q414,Argentina,6,June,11.4,0.3,75.2
Q414,Argentina,7,July,8.0,0.0,64.3
Q414,Argentina,8,August,10.3,0.6,68.7
Q414,Argentina,9,September,16.6,0.0,50.6
Q414,Argentina,10,October,19.7,3.2,60.1
Q414,Argentina,11,November,21.8,4.7,60.6
Q414,Argentina,12,December,22.4,1.3,57.3
Q399,Armenia,1,January,-5.7,2.2,64.9
Q399,Armenia,2,February,-5.7,0.9,64.4
Q399,Armenia,3,March,-3.0,2.9,63.3
Q399,Armenia,4,April,5.1,1.9,67.5
Q399,Armenia,5,May,5.0,6.4,79.2
Q399,Armenia,6,June,11.0,5.3,78.4
Q399,Armenia,7,July,12.6,9.2,85.2
Q399,Armenia,8,August,13.3,4.7,84.5
Q399,Armenia,9,September,9.4,6.0,84.0
Q399,Armenia,10,October,3.2,1.7,68.6
Q399,Armenia,11,November,-1.7,1.4,68.1
Q399,Armenia,12,December,-5.4,0.7,62.3
Q21203,Aruba,1,January,27.5,1.1,73.5
Q21203,Aruba,2,February,27.4,1.2,74.4
Q21203,Aruba,3,March,27.8,0.6,72.7
Q21203,Aruba,4,April,28.6,0.5,72.7
Q21203,Aruba,5,May,29.1,1.5,77.3
Q21203,Aruba,6,June,29.4,0.3,74.4
Q21203,Aruba,7,July,29.2,0.9,74.6
Q21203,Aruba,8,August,29.7,0.8,73.2
Q21203,Aruba,9,September,30.1,1.1,74.4
Q21203,Aruba,10,October,30.1,0.4,69.5
Q21203,Aruba,11,November,28.0,4.0,79.5
Q21203,Aruba,12,December,28.2,1.6,71.6
Q23438,Ashgabat,1,January,6.6,0.5,68.8
Q23438,Ashgabat,2,February,6.0,1.3,63.6
Q23438,Ashgabat,3,March,12.0,1.3,62.0
Q23438,Ashgabat,4,April,19.2,0.4,42.5
Q23438,Ashgabat,5,May,22.4,1.0,50.0
Q23438,Ashgabat,6,June,31.5,0.0,24.2
Q23438,Ashgabat,7,July,32.7,0.0,24.9
Q23438,Ashgabat,8,August,31.9,0.1,24.6
Q23438,Ashgabat,9,September,24.4,0.2,24.1
Q23438,Ashgabat,10,October,17.2,0.9,57.8
Q23438,Ashgabat,11,November,11.3,0.7,69.6
Q23438,Ashgabat,12,December,4.0,0.5,75.3
Q3642,Asmara,1,January,14.4,0.7,68.5
Q3642,Asmara,2,February,16.7,0.2,46.2
Q3642,Asmara,3,March,17.8,1.6,49.6
Q3642,Asmara,4,April,18.5,2.4,51.4
Q3642,Asmara,5,May,19.9,0.6,46.1
Q3642,Asmara,6,June,20.7,0.6,45.8
Q3642,Asmara,7,July,17.2,4.9,78.6
Q3642,Asmara,8,August,15.9,7.9,86.1
Q3642,Asmara,9,September,17.5,0.3,61.5
Q3642,Asmara,10,October,16.9,1.1,58.1
Q3642,Asmara,11,November,14.0,1.9,81.6
Q3642,Asmara,12,December,13.2,0.3,72.9
Q1520,Astana,1,January,-12.4,1.4,82.2
Q1520,Astana,2,February,-13.9,1.2,79.1
Q1520,Astana,3,March,-4.7,0.6,85.5
Q1520,Astana,4,April,7.9,1.1,66.8
Q1520,Astana,5,May,11.6,3.6,68.3
Q1520,Astana,6,June,20.4,2.6,64.5
